rate_uuid,service_code,service_description,negotiated_rate,billing_code_type,billing_class,rate_type,organization_uuid,organization_name,organization_type,tin,provider_count,specialties,provider_types,zip_codes,state_codes,nppes_specialties,nppes_provider_types,primary_zip,primary_state,primary_specialty,primary_nppes_specialty,created_at,updated_at,rate_category,service_category
9d8393bf-e26d-52a5-aadc-2dbafd85ccf5,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,1b71f30f-804f-5fb3-907e-2509f5847b47,Organization-720467503,Unknown,720467503,52.0,[''],['Individual'],[],[],"['Nurse Practitioner, Family']",['Individual'],,,,"Nurse Practitioner, Family",2025-05-29 13:18:33.140908+00:00,2025-05-29 13:18:33.140909+00:00,$0-100,Surgery
61758faa-b288-5426-980f-e6cd6085eb52,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,09182183-b6be-58d9-bdb8-0f799f6c1927,Organization-721313430,Unknown,721313430,10.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141017+00:00,2025-05-29 13:18:33.141017+00:00,$0-100,Surgery
a0688803-d770-5911-b342-29adf085a1d6,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,89ab9d79-432f-59d2-b098-9f6293726c93,Organization-721304948,Unknown,721304948,307.0,[''],['Individual'],[],[],"['Radiology, Diagnostic Radiology']",['Individual'],,,,"Radiology, Diagnostic Radiology",2025-05-29 13:18:33.141076+00:00,2025-05-29 13:18:33.141076+00:00,$0-100,Surgery
1b9cc70a-5d02-59bf-8964-2efb27fae79f,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,282a8960-1a99-5d5b-a513-65f5976b4bda,Organization-720827144,Unknown,720827144,89.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141288+00:00,2025-05-29 13:18:33.141288+00:00,$0-100,Surgery
abec1dd3-eb90-5a3e-a95a-7f4cc6304ec5,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,46e5409a-9896-58b0-a502-932b556da5c9,Organization-721505205,Unknown,721505205,10.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141344+00:00,2025-05-29 13:18:33.141344+00:00,$0-100,Surgery
c76bdc32-da34-56ad-9937-00c3531f3c17,20553,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 3 OR MORE MUSCLES",57.02,CPT,professional,negotiated,2e4f57ee-cf0e-5a86-be02-fb8368bdb55e,Organization-475138029,Unknown,475138029,18.0,[''],['Individual'],[],[],['Physician Assistant'],['Individual'],,,,Physician Assistant,2025-05-29 13:18:33.141476+00:00,2025-05-29 13:18:33.141477+00:00,$0-100,Surgery
91a5cf0d-166b-5b10-85ed-395d80f91eca,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,d498bbc5-e2b1-5c38-b872-028488541052,Organization-720478620,Unknown,720478620,163.0,[''],['Individual'],[],[],"['Family Medicine' 'Internal Medicine, Clinical Cardiac Electrophysiology'
 'Nurse Practitioner, Gerontology']",['Individual'],,,,Family Medicine,2025-05-29 13:18:33.142031+00:00,2025-05-29 13:18:33.142031+00:00,$100-500,Surgery
0f90774c-eaa8-5203-bfdd-5b8fccbc7a78,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,a42b212c-5d9c-5966-bf5d-e4238e5368ba,Organization-721209527,Unknown,721209527,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142254+00:00,2025-05-29 13:18:33.142255+00:00,$100-500,Surgery
733a5511-6d46-5cd1-af59-079eb1ae5d59,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,a41d361c-314c-577f-8f26-508f601eaf55,Organization-472690442,Unknown,472690442,1.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142312+00:00,2025-05-29 13:18:33.142313+00:00,$100-500,Surgery
9f65b8cb-fb95-5154-b429-372540459e0b,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,3e0b1237-3612-55c3-afb5-1d68620665c9,Organization-264542141,Unknown,264542141,30.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142367+00:00,2025-05-29 13:18:33.142367+00:00,$100-500,Surgery
10c36251-e9b6-5f8e-becd-5f45342e9860,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,e78e925e-d690-5609-866a-f6a524017d7c,Organization-721300680,Unknown,721300680,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142494+00:00,2025-05-29 13:18:33.142495+00:00,$100-500,Surgery
a889bd83-353d-5303-898f-9ccc11bbc8b1,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,596653cf-cb58-5dd6-896e-8b772c320c94,Organization-454406602,Unknown,454406602,1.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142555+00:00,2025-05-29 13:18:33.142556+00:00,$100-500,Surgery
013d456f-b61d-59db-8a69-cac3df15e68f,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,0a409039-5b44-5e60-9ebb-e16a983e0a92,Organization-853028909,Unknown,853028909,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142612+00:00,2025-05-29 13:18:33.142613+00:00,$100-500,Surgery
31653dc4-9406-58db-b2b1-b698e5671e02,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,e5459f16-3611-5846-bae5-c2d67d5c9c27,Organization-203910769,Unknown,203910769,168.0,[''],['Individual'],[],[],"['Nurse Practitioner, Acute Care']",['Individual'],,,,"Nurse Practitioner, Acute Care",2025-05-29 13:18:33.142662+00:00,2025-05-29 13:18:33.142663+00:00,$100-500,Surgery
0baeeaf1-b277-52ca-95d3-7bfb99ce3f2d,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,d8d2ea9e-098b-509c-aabf-9e071ce93fbc,Organization-852360664,Unknown,852360664,20.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142750+00:00,2025-05-29 13:18:33.142750+00:00,$100-500,Surgery
55f8a2dd-1cac-5d99-a753-8a405c3b7afc,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,9060ea1d-b631-52f6-a1a0-700fcdbf460d,Organization-720683078,Unknown,720683078,24.0,[''],['Individual'],[],[],"['Internal Medicine, Gastroenterology']",['Individual'],,,,"Internal Medicine, Gastroenterology",2025-05-29 13:18:33.142845+00:00,2025-05-29 13:18:33.142845+00:00,$100-500,Surgery
b6c5a438-2013-5f5b-a393-93e6cfe6fdbc,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,921def92-d0ba-5a30-8d09-1c456b2594ff,Organization-853461578,Unknown,853461578,1.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.143038+00:00,2025-05-29 13:18:33.143038+00:00,$100-500,Surgery
f318d262-ab9a-5865-b4b1-685f2a854112,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,5d484947-4d2e-51de-97a4-f1c7f917f966,Organization-300951534,Unknown,300951534,60.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.143128+00:00,2025-05-29 13:18:33.143128+00:00,$100-500,Surgery
1cba34b2-c34e-5874-8720-793feb240fdd,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,3a182c32-33de-5d9c-b8ca-3150b11b9b9c,Organization-721269878,Unknown,721269878,149.0,[''],['Individual'],[],[],"['Obstetrics & Gynecology' 'Internal Medicine'
 'Internal Medicine, Pulmonary Disease']",['Individual'],,,,Obstetrics & Gynecology,2025-05-29 13:18:33.143317+00:00,2025-05-29 13:18:33.143318+00:00,$100-500,Surgery
390d82b5-44e4-5cf9-b271-af40c6203d4b,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,d88bcce3-6459-5644-9600-f11bafa44712,Organization-726000821,Unknown,726000821,47.0,[''],['Individual'],[],[],"['Psychiatry & Neurology, Neurology with Special Qualifications in Child Neurology']",['Individual'],,,,"Psychiatry & Neurology, Neurology with Special Qualifications in Child Neurology",2025-05-29 13:18:33.143408+00:00,2025-05-29 13:18:33.143409+00:00,$100-500,Surgery
09abb02d-e4c9-5a44-b650-609937c762ac,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,8a7eb1fd-02c1-5922-81db-0b4b14a11853,Organization-300876536,Unknown,300876536,61.0,[''],['Individual'],[],[],"['Nurse Practitioner, Family']",['Individual'],,,,"Nurse Practitioner, Family",2025-05-29 13:18:33.143518+00:00,2025-05-29 13:18:33.143519+00:00,$100-500,Surgery
a20f4214-eada-5ae6-94a1-64d6f2203513,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,cae5b03a-bb4d-541e-86e8-da81f6fcccef,Organization-843755134,Unknown,843755134,6.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.143598+00:00,2025-05-29 13:18:33.143598+00:00,$100-500,Surgery
9f30cade-59b7-5228-a480-b3d6afc12af0,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,1de3e8cd-bf60-5654-a4d2-5f7c90291bba,Organization-721319547,Unknown,721319547,7.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.143743+00:00,2025-05-29 13:18:33.143744+00:00,$100-500,Surgery
ea5f308e-bc8f-55cd-aaca-9d131c3dd255,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,eef1f8e3-363a-5377-ae22-905e1326ede9,Organization-251925187,Unknown,251925187,88.0,[''],['Individual'],[],[],['Physician Assistant'],['Individual'],,,,Physician Assistant,2025-05-29 13:18:33.143883+00:00,2025-05-29 13:18:33.143883+00:00,$100-500,Surgery
4129c9d1-2284-5ba7-aea1-83b3ccdec9e1,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,8b4280dd-80ad-5424-ae7a-2b9df055eed6,Organization-264677203,Unknown,264677203,6.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.143964+00:00,2025-05-29 13:18:33.143965+00:00,$100-500,Surgery
56a77998-67b5-5602-b863-86519f9ead58,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,207a823f-9c00-5f66-a58b-47399854b1d8,Organization-463400116,Unknown,463400116,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144085+00:00,2025-05-29 13:18:33.144086+00:00,$100-500,Surgery
c256f288-a645-55ea-aa5c-060936f7f573,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,dbb469ef-89f9-5e58-9efc-1ec4682637f4,Organization-474013731,Unknown,474013731,31.0,[''],['Individual'],[],[],"['Nurse Practitioner, Family']",['Individual'],,,,"Nurse Practitioner, Family",2025-05-29 13:18:33.144184+00:00,2025-05-29 13:18:33.144184+00:00,$100-500,Surgery
7f1b9e46-94cc-5983-9e8b-feaeebd9be26,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,d46268e7-48ed-54d1-8850-1d6e5fb0f63b,Organization-922740683,Unknown,922740683,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144348+00:00,2025-05-29 13:18:33.144348+00:00,$100-500,Surgery
04ce7d28-8bdc-5cc4-a810-6bf4a2692814,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,909efc05-42ee-569f-8c96-91290cdaa164,Organization-720551963,Unknown,720551963,7.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144434+00:00,2025-05-29 13:18:33.144435+00:00,$100-500,Surgery
18f16b59-f2b6-55e7-8a83-cd5d8a904fb2,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,22bf1851-e633-5929-b35c-a440153bbc6d,Organization-208613662,Unknown,208613662,5.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144576+00:00,2025-05-29 13:18:33.144577+00:00,$100-500,Surgery
38df4558-e778-5324-8a3b-bce4482c5330,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,9bf6cee0-6ec0-5765-8e3e-55f218c146bc,Organization-720594537,Unknown,720594537,17.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144680+00:00,2025-05-29 13:18:33.144681+00:00,$100-500,Surgery
7eb2af73-bbd2-5917-8207-c16177a87b2d,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,f30b4a83-a74d-5310-8b39-0d7dd87a3cb8,Organization-464568405,Unknown,464568405,143.0,[''],['Individual'],[],[],['Internal Medicine'],['Individual'],,,,Internal Medicine,2025-05-29 13:18:33.144827+00:00,2025-05-29 13:18:33.144827+00:00,$100-500,Surgery
ef7342e8-2406-506f-81a9-3890d80fb536,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,3e0e5936-b5ab-593b-baaa-71e9578486d7,Organization-203278979,Unknown,203278979,8.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.144916+00:00,2025-05-29 13:18:33.144916+00:00,$100-500,Surgery
9f6610fb-ac03-5514-912d-d9b5468c9e61,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,2fe24b4b-4640-5bdf-b228-1c04185d7a96,Organization-473935831,Unknown,473935831,24.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145066+00:00,2025-05-29 13:18:33.145066+00:00,$100-500,Surgery
a5ffa6db-f232-5a39-a789-61bee331ff19,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,b00f54fa-cbb8-5522-83ee-ae3619af234e,Organization-271618580,Unknown,271618580,7.0,[''],['Individual'],[],[],['Physician Assistant'],['Individual'],,,,Physician Assistant,2025-05-29 13:18:33.145151+00:00,2025-05-29 13:18:33.145151+00:00,$100-500,Surgery
951f2d4d-c56f-5723-96b8-4695efb649a6,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,9ec8209e-30a4-5a86-ab65-a09547e7f2d9,Organization-261428333,Unknown,261428333,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145303+00:00,2025-05-29 13:18:33.145304+00:00,$100-500,Surgery
53336861-f3c6-529b-9cc3-313fc667ce73,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,ac250fd0-9a2e-59c5-859e-ca006f3eeb99,Organization-850959548,Unknown,850959548,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145388+00:00,2025-05-29 13:18:33.145389+00:00,$100-500,Surgery
d59b7062-3429-53e8-9808-3b0946b0a67c,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,eef42b38-fd3f-5547-926b-627916008241,Organization-352463092,Unknown,352463092,51.0,[''],['Individual'],[],[],"['Clinic/Center, Urgent Care' 'Physician Assistant']",['Organization' 'Individual'],,,,"Clinic/Center, Urgent Care",2025-05-29 13:18:33.145454+00:00,2025-05-29 13:18:33.145455+00:00,$100-500,Surgery
49b61e19-9124-5937-b9d9-210ea12a9aa9,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,25204b09-3ec0-52a1-aaf2-9730bd87938f,Organization-461116776,Unknown,461116776,42.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145625+00:00,2025-05-29 13:18:33.145625+00:00,$100-500,Surgery
4407c880-e270-521d-87e3-cf0c3507dd5f,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,94b96ea1-f12d-5005-8abc-e84e226d476f,Organization-201367299,Unknown,201367299,77.0,[''],['Individual'],[],[],['Nurse Practitioner'],['Individual'],,,,Nurse Practitioner,2025-05-29 13:18:33.145724+00:00,2025-05-29 13:18:33.145724+00:00,$100-500,Surgery
759861cf-672b-5fb2-bad3-9e9f845d132d,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,ef449be9-083d-50a9-8825-a79eef9f6c28,Organization-461298435,Unknown,461298435,7.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145911+00:00,2025-05-29 13:18:33.145911+00:00,$100-500,Surgery
b31923bd-a643-54f9-a939-57d215696b20,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,80a974b1-618d-509f-b8e1-ae4e35a68c51,Organization-721501844,Unknown,721501844,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.145958+00:00,2025-05-29 13:18:33.145958+00:00,$100-500,Surgery
1739cef8-059b-5c65-aca0-1fa98cd39486,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,a4abdea2-2327-5a67-a826-88de92bfecf3,Organization-721492956,Unknown,721492956,5.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146005+00:00,2025-05-29 13:18:33.146005+00:00,$100-500,Surgery
23261deb-d2c3-56ac-8525-4c4135728fa6,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,6164809e-daa0-5779-a3c2-6236c42f1e1a,Organization-203161166,Unknown,203161166,18.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146065+00:00,2025-05-29 13:18:33.146066+00:00,$100-500,Surgery
23c83a7d-b440-5001-8331-549b90d46d72,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,c38600f3-1e81-597f-b012-07f30b56af0f,Organization-203963630,Unknown,203963630,3.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146115+00:00,2025-05-29 13:18:33.146115+00:00,$100-500,Surgery
68dfe8db-4bb0-594b-bc8a-9256f0b80a74,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,5d84128c-f55f-5a6b-abf1-8fc9b17d078f,Organization-870969461,Unknown,870969461,11.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146171+00:00,2025-05-29 13:18:33.146171+00:00,$100-500,Surgery
6ccdebbe-124b-5218-bb9a-09c39d0791eb,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,5b7bf36b-32c5-5d80-86c6-cfc30a35d1e3,Organization-911939739,Unknown,911939739,13.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146231+00:00,2025-05-29 13:18:33.146231+00:00,$100-500,Surgery
98f76e27-bea0-5b9e-a81f-b1c78e8cdbbe,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,0117adbc-f36d-5972-b7f6-da9e57aea754,Organization-261242934,Unknown,261242934,10.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146280+00:00,2025-05-29 13:18:33.146280+00:00,$100-500,Surgery
43ef6b4b-465e-5dff-b2b5-cedbb640585c,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,7484d457-4265-5877-b174-2a6841032075,Organization-721474229,Unknown,721474229,24.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.146403+00:00,2025-05-29 13:18:33.146403+00:00,$100-500,Surgery
